# Wavenumber / cm-1 	 Absorbance / OD
1.932508820000000469e+03	2.459411016483697976e-04
1.932538950000000341e+03	2.706563709724274513e-04
1.932569090000000415e+03	2.903715457957534163e-04
1.932599220000000287e+03	2.950868151198188238e-04
1.932629350000000386e+03	2.948020844438792309e-04
1.932659490000000460e+03	2.945172592672129497e-04
1.932689620000000332e+03	2.942325285912733568e-04
1.932719760000000406e+03	3.039477034146031986e-04
1.932749890000000278e+03	3.086629727386686062e-04
1.932780020000000377e+03	3.133782420627340137e-04
1.932810160000000451e+03	3.030934168860716094e-04
1.932840290000000323e+03	2.878086862101170151e-04
1.932870420000000422e+03	2.625239555341801756e-04
1.932900560000000269e+03	2.422391303575355259e-04
1.932930690000000368e+03	2.319543996815720543e-04
1.932960830000000442e+03	2.366695745049246513e-04
1.932990960000000314e+03	2.563848438289911824e-04
1.933021090000000413e+03	2.911001131530310815e-04
1.933051230000000260e+03	3.258152879763859255e-04
1.933081360000000359e+03	3.605305573004397024e-04
1.933111500000000433e+03	3.752457321237745447e-04
1.933141630000000305e+03	3.749610014478349518e-04
1.933171760000000404e+03	3.546762707718892349e-04
1.933201900000000251e+03	3.193914455952295839e-04
1.933232030000000350e+03	2.791067149192916208e-04
1.933262160000000449e+03	2.388219842433536577e-04
1.933292300000000296e+03	2.085371590666851294e-04
1.933322430000000395e+03	1.932524283907444129e-04
1.933352570000000469e+03	2.029676032140742548e-04
1.933382700000000341e+03	2.326828725381369090e-04
1.933412830000000440e+03	2.823981418621918094e-04
1.933442970000000287e+03	3.371133166855388996e-04
1.933473100000000386e+03	3.818285860095887996e-04
1.933503230000000258e+03	4.015438553336553307e-04
1.933533370000000332e+03	3.962590301569979268e-04
1.933563500000000431e+03	3.609742994810510863e-04
1.933593640000000278e+03	3.056894743043991891e-04
1.933623770000000377e+03	2.504047436284601025e-04
1.933653900000000249e+03	2.101200129524943838e-04
1.933684040000000323e+03	1.948351877758547346e-04
1.933714170000000422e+03	2.045504570999112648e-04
1.933744310000000269e+03	2.192656319232461071e-04
1.933774440000000368e+03	2.339809012473076377e-04
1.933804570000000467e+03	2.336961705713680448e-04
1.933834710000000314e+03	2.134113453946956396e-04
1.933864840000000413e+03	1.781266147187626769e-04
1.933894970000000285e+03	1.528418840428119596e-04
1.933925110000000359e+03	1.425570588661495552e-04
1.933955240000000458e+03	1.572723281902110859e-04
1.933985380000000305e+03	1.869875030135470517e-04
1.934015510000000404e+03	2.267027723376058290e-04
1.934045640000000276e+03	2.564180416616684832e-04
1.934075780000000350e+03	2.611332164849933246e-04
1.934105910000000449e+03	2.408484858090614855e-04
1.934136050000000296e+03	2.055636606323879567e-04
1.934166180000000395e+03	1.752789299564599945e-04
1.934196310000000267e+03	1.649941992805104007e-04
1.934226450000000341e+03	1.847093741038502435e-04
1.934256580000000440e+03	2.294246434279278990e-04
1.934286710000000312e+03	2.891399127519650447e-04
1.934316850000000386e+03	3.388550875753210123e-04
1.934346980000000258e+03	3.735703568993747892e-04
1.934377120000000332e+03	3.832855317227046310e-04
1.934407250000000431e+03	3.680008010467777924e-04
1.934437380000000303e+03	3.427160703708270750e-04
1.934467520000000377e+03	3.124312451941724245e-04
1.934497650000000249e+03	2.871465145182217071e-04
1.934527780000000348e+03	2.718617838422809907e-04
1.934557920000000422e+03	2.615769586656185863e-04
1.934588050000000294e+03	2.562922279896739930e-04
1.934618190000000368e+03	2.460074028130115886e-04
1.934648320000000467e+03	2.407226721370808731e-04
1.934678450000000339e+03	2.404379414611412802e-04
1.934708590000000413e+03	2.451531162844661216e-04
1.934738720000000285e+03	2.648683856085326527e-04
1.934768860000000359e+03	2.945835604318686185e-04
1.934798990000000458e+03	3.242988297559173949e-04
1.934829120000000330e+03	3.540140990799800491e-04
1.934859260000000404e+03	3.687292739033148914e-04
1.934889390000000276e+03	3.684445432273891763e-04
1.934919520000000375e+03	3.531598125514345821e-04
1.934949660000000449e+03	3.178749873747749310e-04
1.934979790000000321e+03	2.775902566988508458e-04
1.935009930000000395e+03	2.423054315221773169e-04
1.935040060000000267e+03	2.170207008462404774e-04
1.935070190000000366e+03	2.117359701702958841e-04
1.935100330000000440e+03	2.214511449936396037e-04
1.935130460000000312e+03	2.411664143176922570e-04
1.935160590000000411e+03	2.708816836417549112e-04
1.935190730000000258e+03	2.905968584650947539e-04
1.935220860000000357e+03	3.103121277891474072e-04
1.935251000000000431e+03	3.200273026124772491e-04
1.935281130000000303e+03	3.247425719365426566e-04
1.935311260000000402e+03	3.344578412605991868e-04
1.935341400000000249e+03	3.441730160839429065e-04
1.935371530000000348e+03	3.538882854079994367e-04
1.935401670000000422e+03	3.586034602313381559e-04
1.935431800000000294e+03	3.533187295553935625e-04
1.935461930000000393e+03	3.330339988794478456e-04
1.935492070000000467e+03	3.027491737027931951e-04
1.935522200000000339e+03	2.724644430268513551e-04
1.935552330000000438e+03	2.521797123509056382e-04
1.935582470000000285e+03	2.468948871742343565e-04
1.935612600000000384e+03	2.616101564983097649e-04
1.935642740000000458e+03	2.863253313216546081e-04
1.935672870000000330e+03	3.160406006456895067e-04
1.935703000000000429e+03	3.357558699697699156e-04
1.935733140000000276e+03	3.304710447930986339e-04
1.935763270000000375e+03	3.101863141171667948e-04
1.935793410000000449e+03	2.799014889404982664e-04
1.935823540000000321e+03	2.496167582645564265e-04
1.935853670000000420e+03	2.243320275886195869e-04
1.935883810000000267e+03	2.140472024119571826e-04
1.935913940000000366e+03	2.137624717360175897e-04
1.935944070000000465e+03	2.184777410600691194e-04
1.935974210000000312e+03	2.281929158834128391e-04
1.936004340000000411e+03	2.279081852074732462e-04
1.936034480000000258e+03	2.326233600307980875e-04
1.936064610000000357e+03	2.373386293548634951e-04
1.936094740000000456e+03	2.470538986789200253e-04
1.936124880000000303e+03	2.517690735022587445e-04
1.936155010000000402e+03	2.564843428263102743e-04
1.936185140000000274e+03	2.561996121503706814e-04
1.936215280000000348e+03	2.409147869737032766e-04
1.936245410000000447e+03	2.206300562977714375e-04
1.936275550000000294e+03	2.003452311211129100e-04
1.936305680000000393e+03	1.900605004451633162e-04
1.936335810000000265e+03	1.947757697692426015e-04
1.936365950000000339e+03	2.144909445925685665e-04
1.936396080000000438e+03	2.442062139166173429e-04
1.936426220000000285e+03	2.689213887399621861e-04
1.936456350000000384e+03	2.886366580640287172e-04
1.936486480000000256e+03	2.933519273880941247e-04
1.936516620000000330e+03	2.830671022114178426e-04
1.936546750000000429e+03	2.677823715354771261e-04
1.936576880000000301e+03	2.524976408595364097e-04
1.936607020000000375e+03	2.372128156828690049e-04
1.936637150000000247e+03	2.319280850069382893e-04
1.936667290000000321e+03	2.316432598302720081e-04
1.936697420000000420e+03	2.313585291543324152e-04
1.936727550000000292e+03	2.410737984783889454e-04
1.936757690000000366e+03	2.507889733017187872e-04
1.936787820000000465e+03	2.605042426257891952e-04
1.936817950000000337e+03	2.752195119498507259e-04
1.936848090000000411e+03	2.949346867731766908e-04
1.936878220000000283e+03	3.096499560972382215e-04
1.936908360000000357e+03	3.243651309205869415e-04
1.936938490000000456e+03	3.340804002446295939e-04
1.936968620000000328e+03	3.337956695686900011e-04
1.936998760000000402e+03	3.235108443920414745e-04
1.937028890000000274e+03	3.032261137160818798e-04
1.937059030000000348e+03	2.829412885394372301e-04
1.937089160000000447e+03	2.676565578634965137e-04
1.937119290000000319e+03	2.573718271875469199e-04
1.937149430000000393e+03	2.470870020108845155e-04
1.937179560000000265e+03	2.418022713349538000e-04
1.937209690000000364e+03	2.365175406590092066e-04
1.937239830000000438e+03	2.212327154823418018e-04
1.937269960000000310e+03	2.059479848064010854e-04
1.937300100000000384e+03	1.956631596297386810e-04
1.937330230000000256e+03	1.953784289537990881e-04
1.937360360000000355e+03	2.100936982778606188e-04
1.937390500000000429e+03	2.398088731011965846e-04
1.937420630000000301e+03	2.845241424252603624e-04
1.937450770000000375e+03	3.342393172485885744e-04
1.937480900000000247e+03	3.639545865726512286e-04
1.937511030000000346e+03	3.736698558967077588e-04
1.937541170000000420e+03	3.583850307200542318e-04
1.937571300000000292e+03	3.231003000441073914e-04
1.937601430000000391e+03	2.828155693681694283e-04
1.937631570000000465e+03	2.525307441915147777e-04
1.937661700000000337e+03	2.422460135155513061e-04
1.937691840000000411e+03	2.519611883389089035e-04
1.937721970000000283e+03	2.766764576629665573e-04
1.937752100000000382e+03	3.013917269870103333e-04
1.937782240000000456e+03	3.111069018103540529e-04
1.937812370000000328e+03	3.108221711344144600e-04
1.937842500000000427e+03	2.905374404584687431e-04
1.937872640000000274e+03	2.702526152818102156e-04
1.937902770000000373e+03	2.499678846058783765e-04
1.937932910000000447e+03	2.446830594292070948e-04
1.937963040000000319e+03	2.593983287532686255e-04
1.937993170000000418e+03	2.841135980773262792e-04
1.938023310000000265e+03	3.188287729006672455e-04
1.938053440000000364e+03	3.485440422247160219e-04
