# Wavenumber / cm-1 	 Absorbance / OD
1.932508820000000469e+03	9.022441823956714457e-04
1.932538950000000341e+03	9.063688220381505012e-04
1.932569090000000415e+03	9.054931711527866578e-04
1.932599220000000287e+03	8.996178107952695902e-04
1.932629350000000386e+03	8.987424504377367063e-04
1.932659490000000460e+03	9.028667995523778633e-04
1.932689620000000332e+03	9.169914391948599808e-04
1.932719760000000406e+03	9.361157883094953225e-04
1.932749890000000278e+03	9.602404279519805019e-04
1.932780020000000377e+03	9.743650675944487416e-04
1.932810160000000451e+03	9.684894167090868367e-04
1.932840290000000323e+03	9.526140563515597681e-04
1.932870420000000422e+03	9.267386959940365765e-04
1.932900560000000269e+03	9.008630451086893642e-04
1.932930690000000368e+03	8.799876847511503564e-04
1.932960830000000442e+03	8.791120338657934519e-04
1.932990960000000314e+03	8.982366735082736309e-04
1.933021090000000413e+03	9.223613131507449325e-04
1.933051230000000260e+03	9.514856622653902751e-04
1.933081360000000359e+03	9.756103019078615768e-04
1.933111500000000433e+03	9.897346510225057958e-04
1.933141630000000305e+03	9.888592906649798508e-04
1.933171760000000404e+03	9.729839303074527823e-04
1.933201900000000251e+03	9.521082794220966927e-04
1.933232030000000350e+03	9.312329190645715626e-04
1.933262160000000449e+03	9.103575587070464326e-04
1.933292300000000296e+03	8.894819078216903430e-04
1.933322430000000395e+03	8.786065474641613360e-04
1.933352570000000469e+03	8.777308965787974926e-04
1.933382700000000341e+03	8.968555362212776716e-04
1.933412830000000440e+03	9.259801758637470348e-04
1.933442970000000287e+03	9.651045249783954394e-04
1.933473100000000386e+03	9.992291646208698030e-04
1.933503230000000258e+03	1.018353804263343043e-03
1.933533370000000332e+03	1.007478153377990016e-03
1.933563500000000431e+03	9.766027930204548846e-04
1.933593640000000278e+03	9.257271421351034868e-04
1.933623770000000377e+03	8.748517817775761096e-04
1.933653900000000249e+03	8.439764214200548564e-04
1.933684040000000323e+03	8.431007705346979519e-04
1.933714170000000422e+03	8.622254101771642532e-04
1.933744310000000269e+03	8.963497592918145962e-04
1.933774440000000368e+03	9.204743989342789590e-04
1.933804570000000467e+03	9.245990385767510755e-04
1.933834710000000314e+03	8.987233876914038633e-04
1.933864840000000413e+03	8.528480273338676088e-04
1.933894970000000285e+03	8.119726669763502325e-04
1.933925110000000359e+03	7.960970160909852655e-04
1.933955240000000458e+03	8.052216557334623825e-04
1.933985380000000305e+03	8.393460048481057867e-04
1.934015510000000404e+03	8.784706444905782119e-04
1.934045640000000276e+03	9.075952841330614529e-04
1.934075780000000350e+03	9.067196332476976095e-04
1.934105910000000449e+03	8.808442728901674790e-04
1.934136050000000296e+03	8.299686220048160812e-04
1.934166180000000395e+03	7.890932616472848271e-04
1.934196310000000267e+03	7.732179012897716364e-04
1.934226450000000341e+03	7.973422504044050396e-04
1.934256580000000440e+03	8.514668900468785884e-04
1.934286710000000312e+03	9.255915296893513222e-04
1.934316850000000386e+03	9.897158788039969735e-04
1.934346980000000258e+03	1.033840518446467460e-03
1.934377120000000332e+03	1.037964867561115556e-03
1.934407250000000431e+03	1.017089507203590426e-03
1.934437380000000303e+03	9.762141468460591720e-04
1.934467520000000377e+03	9.403384959607019589e-04
1.934497650000000249e+03	9.144631356031787672e-04
1.934527780000000348e+03	9.085877752456547607e-04
1.934557920000000422e+03	9.227121243602989797e-04
1.934588050000000294e+03	9.368367640027672194e-04
1.934618190000000368e+03	9.409611131174153154e-04
1.934648320000000467e+03	9.400857527598824315e-04
1.934678450000000339e+03	9.242103924023623018e-04
1.934708590000000413e+03	9.033347415169992733e-04
1.934738720000000285e+03	8.924593811594772053e-04
1.934768860000000359e+03	8.965837302741183623e-04
1.934798990000000458e+03	9.207083699165896640e-04
1.934829120000000330e+03	9.598330095590690281e-04
1.934859260000000404e+03	9.939573586737054933e-04
1.934889390000000276e+03	1.018081998316183734e-03
1.934919520000000375e+03	1.017206637958650850e-03
1.934949660000000449e+03	9.913309870732966989e-04
1.934979790000000321e+03	9.404556267157762606e-04
1.935009930000000395e+03	8.895799758304109850e-04
1.935040060000000267e+03	8.487046154728936087e-04
1.935070190000000366e+03	8.328292551153596013e-04
1.935100330000000440e+03	8.469536042300038203e-04
1.935130460000000312e+03	8.760782438724870613e-04
1.935160590000000411e+03	9.152028835149525476e-04
1.935190730000000258e+03	9.393272326295998287e-04
1.935220860000000357e+03	9.484518722720700068e-04
1.935251000000000431e+03	9.375762213867100403e-04
1.935281130000000303e+03	9.167008610291849102e-04
1.935311260000000402e+03	8.958255006716597801e-04
1.935341400000000249e+03	8.949498497863098145e-04
1.935371530000000348e+03	9.040744894287799927e-04
1.935401670000000422e+03	9.231988385434222733e-04
1.935431800000000294e+03	9.473234781858935749e-04
1.935461930000000393e+03	9.564481178283706919e-04
1.935492070000000467e+03	9.505724669430157259e-04
1.935522200000000339e+03	9.346971065854886573e-04
1.935552330000000438e+03	9.088217462279585268e-04
1.935582470000000285e+03	8.879460953426024372e-04
1.935612600000000384e+03	8.720707349850753687e-04
1.935642740000000458e+03	8.711950840997115253e-04
1.935672870000000330e+03	8.753197237421975196e-04
1.935703000000000429e+03	8.844443633846676978e-04
1.935733140000000276e+03	8.935687124993138553e-04
1.935763270000000375e+03	8.976933521417859718e-04
1.935793410000000449e+03	9.068177012564251904e-04
1.935823540000000321e+03	9.209423408989003690e-04
1.935853670000000420e+03	9.300669805413705471e-04
1.935883810000000267e+03	9.341913296560186430e-04
1.935913940000000366e+03	9.333159692984926981e-04
1.935944070000000465e+03	9.124406089409606291e-04
1.935974210000000312e+03	8.865649580556134168e-04
1.936004340000000411e+03	8.506895976980802243e-04
1.936034480000000258e+03	8.248139468127260732e-04
1.936064610000000357e+03	8.089385864552059435e-04
1.936094740000000456e+03	8.130632260976711212e-04
1.936124880000000303e+03	8.371875752123184022e-04
1.936155010000000402e+03	8.613122148547897039e-04
1.936185140000000274e+03	8.804368544972698829e-04
1.936215280000000348e+03	8.895612036119021626e-04
1.936245410000000447e+03	8.836858432543781561e-04
1.936275550000000294e+03	8.678101923690270669e-04
1.936305680000000393e+03	8.519348320114930595e-04
1.936335810000000265e+03	8.510594716539740534e-04
1.936365950000000339e+03	8.601838207686132720e-04
1.936396080000000438e+03	8.793084604110865121e-04
1.936426220000000285e+03	9.034328095257268543e-04
1.936456350000000384e+03	9.175574491682020328e-04
1.936486480000000256e+03	9.166820888106830267e-04
1.936516620000000330e+03	9.058064379253230602e-04
1.936546750000000429e+03	8.749310775677948682e-04
1.936576880000000301e+03	8.490557172102716765e-04
1.936607020000000375e+03	8.231800663249105865e-04
1.936637150000000247e+03	8.173047059673935189e-04
1.936667290000000321e+03	8.214290550820277370e-04
1.936697420000000420e+03	8.405536947245009771e-04
1.936727550000000292e+03	8.696783343669772792e-04
1.936757690000000366e+03	8.938026834816176214e-04
1.936787820000000465e+03	9.129273231240908615e-04
1.936817950000000337e+03	9.270519627665660400e-04
1.936848090000000411e+03	9.261763118812091355e-04
1.936878220000000283e+03	9.253009515236831906e-04
1.936908360000000357e+03	9.144253006383301630e-04
1.936938490000000456e+03	9.085499402807992175e-04
1.936968620000000328e+03	9.076745799232802114e-04
1.936998760000000402e+03	9.067989290379233069e-04
1.937028890000000274e+03	9.109235686803954235e-04
1.937059030000000348e+03	9.150479177950365806e-04
1.937089160000000447e+03	9.191725574375017582e-04
1.937119290000000319e+03	9.132971970799846906e-04
1.937149430000000393e+03	9.074215461946227856e-04
1.937179560000000265e+03	8.865461858371045945e-04
1.937209690000000364e+03	8.606708254795744639e-04
1.937239830000000438e+03	8.297951745942153123e-04
1.937269960000000310e+03	8.039198142366921207e-04
1.937300100000000384e+03	7.880441633513271538e-04
1.937330230000000256e+03	7.971688029938112097e-04
1.937360360000000355e+03	8.212934426362755724e-04
1.937390500000000429e+03	8.654177917509220386e-04
1.937420630000000301e+03	9.195424313934025262e-04
1.937450770000000375e+03	9.636667805080351146e-04
1.937480900000000247e+03	9.877914201505202940e-04
1.937511030000000346e+03	9.869160597929874101e-04
1.937541170000000420e+03	9.660404089076313205e-04
1.937571300000000292e+03	9.301650485501120058e-04
1.937601430000000391e+03	8.942896881925788133e-04
1.937631570000000465e+03	8.784140373072207852e-04
1.937661700000000337e+03	8.775386769496948403e-04
1.937691840000000411e+03	8.916630260643390593e-04
1.937721970000000283e+03	9.107876657068122994e-04
1.937752100000000382e+03	9.249123053492874780e-04
1.937782240000000456e+03	9.240366544639305735e-04
1.937812370000000328e+03	9.031612941064054434e-04
1.937842500000000427e+03	8.722859337488772513e-04
1.937872640000000274e+03	8.414102828635180997e-04
1.937902770000000373e+03	8.255349225059979701e-04
1.937932910000000447e+03	8.246592716206410656e-04
1.937963040000000319e+03	8.487839112631123673e-04
1.937993170000000418e+03	8.879085509055847925e-04
1.938023310000000265e+03	9.320329000202312586e-04
1.938053440000000364e+03	9.661575396627056223e-04
1.938083580000000438e+03	9.852818887773409640e-04
1.938113710000000310e+03	9.744065284198188959e-04
1.938143840000000409e+03	9.485311680622957042e-04
1.938173980000000256e+03	9.076555171769404295e-04
1.938204110000000355e+03	8.617801568194111139e-04
1.938234240000000455e+03	8.309047964618759829e-04
1.938264380000000301e+03	8.100291455765268323e-04
1.938294510000000400e+03	8.091537852189939484e-04
1.938324650000000247e+03	8.232781343336451063e-04
1.938354780000000346e+03	8.424027739761183464e-04
1.938384910000000446e+03	8.565274136185865861e-04
1.938415050000000292e+03	8.656517627332396825e-04
1.938445180000000391e+03	8.597764023757017982e-04
1.938475320000000465e+03	8.539007514903468321e-04
1.938505450000000337e+03	8.480253911328297645e-04
1.938535580000000436e+03	8.471500307752968806e-04
1.938565720000000283e+03	8.512743798899449765e-04
1.938595850000000382e+03	8.603990195324151546e-04
1.938625980000000254e+03	8.695236591748922717e-04
1.938656120000000328e+03	8.686480082895284283e-04
1.938686250000000427e+03	8.677726479320024833e-04
1.938716390000000274e+03	8.618969970466544561e-04
1.938746520000000373e+03	8.610216366891215722e-04
1.938776650000000245e+03	8.701462763315986892e-04
1.938806790000000319e+03	8.792706254462379079e-04
1.938836920000000418e+03	8.883952650887150249e-04
1.938867050000000290e+03	8.925199047311871414e-04
1.938897190000000364e+03	8.816442538458271749e-04
1.938927320000000464e+03	8.557688934883039833e-04
1.938957460000000310e+03	8.348932426029478937e-04
1.938987590000000409e+03	8.190178822454208252e-04
1.939017720000000281e+03	8.181425218878948802e-04
1.939047860000000355e+03	8.322668710025390992e-04
1.939077990000000455e+03	8.613915106450084624e-04
1.939108130000000301e+03	8.855158597596557435e-04
