w	dA_mOD
2079.2	0.31006
2079.68	-0.18305
2080.15	0.17711
2080.63	1.14162
2081.1	0.92131
2081.49	0.07739
2081.58	0.02063
2081.97	-0.09158
2082.05	-0.08234
2082.44	0.30924
2082.53	0.37584
2082.92	0.95416
2083	0.96398
2083.4	1.33049
2083.48	1.3748
2083.79	1.13005
2083.87	1.14595
2083.95	1.17909
2084.27	0.82589
2084.35	0.7943
2084.43	0.80518
2084.74	1.01175
2084.82	0.91242
2084.9	0.80899
2085.22	0.75939
2085.3	0.72888
2085.38	0.69802
2085.7	0.69337
2085.78	0.68357
2085.85	0.66732
2086.09	0.55578
2086.17	0.56865
2086.25	0.60925
2086.32	0.6379
2086.57	0.2559
2086.65	0.1503
2086.73	0.08104
2086.8	0.03875
2087.05	-0.00765
2087.13	-0.0627
2087.2	-0.10632
2087.27	-0.10556
2087.52	0.36241
2087.6	0.34501
2087.68	0.28309
2087.75	0.24307
2088	0.34267
2088.08	0.32338
2088.16	0.28805
2088.22	0.26195
2088.48	0.31506
2088.56	0.37815
2088.63	0.42103
2088.7	0.43533
2088.96	0.05258
2089.04	-0.02241
2089.11	-0.05673
2089.44	0.14104
2089.51	0.12409
2089.58	0.09136
2089.91	0.11875
2089.99	0.13909
2090.06	0.15406
2090.39	0.24725
2090.47	0.23334
2090.54	0.21762
2090.71	0.21291
2090.87	0.2465
2090.94	0.24215
2091.01	0.22252
2091.19	0.15531
2091.35	0.1672
2091.42	0.16183
2091.67	-0.10062
2091.83	-0.06584
2091.9	-0.00185
2092.15	0.07797
2092.3	-0.09172
2092.37	-0.14699
2092.63	8.40139E-4
2092.78	-0.01743
2092.85	-0.05981
2093.02	-0.10525
2093.11	-0.03459
2093.26	0.0945
2093.33	0.10541
2093.51	0.03416
2093.59	0.01109
2093.74	0.05892
2093.99	0.32019
2094.07	0.22033
2094.22	-0.08261
2094.47	-0.2597
2094.55	-0.17802
2094.69	-0.03683
2094.95	-0.08718
2095.03	-0.04269
2095.17	0.05132
2095.35	-0.02737
2095.43	-0.08549
2095.51	-0.10787
2095.65	-0.04574
2095.83	0.04454
2095.91	0.05927
2095.99	0.06709
2096.31	-0.12358
2096.39	-0.16361
2096.47	-0.1831
2096.79	0.26338
2096.87	0.24389
2096.95	0.19667
2097.28	-0.02426
2097.36	-0.06432
2097.43	-0.08448
2097.67	0.07252
2097.76	0.13102
2097.84	0.15581
2097.91	0.15784
2098.16	0.04577
2098.24	0.01265
2098.32	-0.00499
2098.39	0.00744
2098.64	0.39403
2098.72	0.46809
2098.8	0.4865
2098.87	0.44708
2099.12	-0.01269
2099.21	-0.0337
2099.28	-0.0102
2099.35	0.03241
2099.61	0.24884
2099.69	0.283
2099.76	0.29185
2099.83	0.27388
2100.01	0.12295
2100.09	0.06766
2100.17	0.03449
2100.24	0.01914
2100.31	0.01767
2100.49	0.11375
2100.57	0.18674
2100.65	0.2529
2100.72	0.28143
2100.97	-0.00454
2101.06	0.02578
2101.13	0.10012
2101.21	0.19489
2101.46	-0.00958
2101.54	-0.16582
2101.62	-0.31756
2101.69	-0.42619
2101.94	-0.197
2102.02	-0.17039
2102.1	-0.1888
2102.17	-0.19158
2102.34	-0.03295
2102.43	0.03339
2102.51	0.03436
2102.58	0.00659
2102.65	-0.0277
2102.83	-0.04438
2102.91	-0.03628
2102.99	-0.03959
2103.06	-0.04988
2103.31	-0.01894
2103.4	0.00443
2103.47	0.00796
2103.55	-0.00496
2103.8	-0.04301
2103.88	-0.02212
2103.96	0.00841
2104.03	0.03719
2104.29	0.04842
2104.37	0.05656
2104.44	0.06957
2104.51	0.08268
2104.69	0.04963
2104.77	-0.00207
2104.85	-0.04632
2104.92	-0.06396
2104.99	-0.0552
2105.17	0.03669
2105.26	0.06193
2105.33	0.07024
2105.41	0.06573
2105.66	-0.11104
2105.74	-0.12095
2105.82	-0.10233
2105.89	-0.075
2106.15	-0.13574
2106.23	-0.17769
2106.3	-0.20184
2106.37	-0.21037
2106.63	-0.10506
2106.71	-0.11228
2106.79	-0.11984
2106.86	-0.10783
2107.03	-0.03224
2107.12	-0.04628
2107.2	-0.08376
2107.27	-0.10681
2107.34	-0.09825
2107.52	0.03933
2107.61	0.05133
2107.68	0.02576
2107.76	-0.01687
2108.01	-0.00278
2108.09	0.01958
2108.17	0.03165
2108.24	0.0391
2108.5	0.17298
2108.58	0.24393
2108.65	0.31096
2108.73	0.39881
2108.98	0.80178
2109.07	0.93248
2109.14	1.03935
2109.21	1.17094
2109.39	1.64553
2109.47	1.87242
2109.55	2.1041
2109.63	2.33255
2109.69	2.49275
2109.87	3.04122
2109.96	3.41163
2110.04	3.74936
2110.11	4.07276
2110.36	6.26461
2110.45	6.98894
2110.52	7.49214
2110.6	8.1036
2110.85	10.74965
2110.93	11.3447
2111.01	11.85593
2111.08	12.34767
2111.34	15.25577
2111.42	15.73429
2111.5	16.13035
2111.57	16.56229
2111.74	17.93383
2111.83	18.38154
2111.91	18.57949
2111.98	18.64327
2112.05	18.58785
2112.23	18.09881
2112.32	18.00521
2112.4	17.96304
2112.47	17.90825
2112.72	17.88004
2112.81	17.68307
2112.89	17.36297
2112.96	16.97687
2113.21	14.94353
2113.3	14.38343
2113.37	13.98938
2113.44	13.58315
2113.7	11.56351
2113.79	10.98163
2113.86	10.60067
2113.93	10.31317
2114.11	9.82662
2114.19	9.36517
2114.27	8.7521
2114.35	8.11598
2114.42	7.60067
2114.6	6.58541
2114.68	6.28089
2114.76	6.00372
2114.84	5.70301
2115.09	4.68773
2115.17	4.47683
2115.25	4.27449
2115.32	4.09256
2115.58	3.36095
2115.66	3.18009
2115.74	3.00643
2115.81	2.84138
2116.07	2.03437
2116.15	1.8963
2116.23	1.81138
2116.3	1.77864
2116.48	1.77123
2116.56	1.68915
2116.64	1.56071
2116.72	1.43381
2116.79	1.35944
2116.97	1.36071
2117.05	1.36343
2117.13	1.33757
2117.21	1.28371
2117.46	1.05551
2117.54	1.04729
2117.62	1.05014
2117.7	1.05313
2117.95	1.01529
2118.04	1.01288
2118.11	1.01619
2118.18	1.01204
2118.44	0.80134
2118.53	0.79133
2118.6	0.81248
2118.67	0.85093
2118.85	0.90152
2118.94	0.83002
2119.02	0.7498
2119.09	0.701
2119.16	0.69403
2119.34	0.81993
2119.43	0.84225
2119.51	0.8317
2119.58	0.81124
2119.84	0.6832
2119.92	0.66352
2120	0.65679
2120.07	0.6638
2120.33	0.73431
2120.41	0.72961
2120.49	0.7256
2120.56	0.72339
2120.82	0.62465
2120.91	0.59582
2120.98	0.59491
2121.05	0.61368
2121.23	0.66107
2121.32	0.61368
2121.4	0.55341
2121.47	0.51575
2121.54	0.51371
2121.72	0.6662
2121.81	0.71868
2121.89	0.72772
2121.96	0.71116
2122.22	0.54374
2122.3	0.54307
2122.38	0.55612
2122.45	0.57699
2122.71	0.71107
2122.8	0.73722
2122.87	0.75649
2122.95	0.77093
2123.21	0.61836
2123.29	0.59954
2123.37	0.60689
2123.44	0.62863
2123.61	0.66205
2123.7	0.61848
2123.78	0.56046
2123.86	0.51504
2123.93	0.50872
2124.11	0.64145
2124.2	0.68945
2124.28	0.69789
2124.35	0.68176
2124.61	0.5342
2124.69	0.53313
2124.77	0.53924
2124.84	0.54836
2125.1	0.66092
2125.18	0.70203
2125.26	0.7418
2125.33	0.76515
2125.6	0.57859
2125.68	0.56827
2125.76	0.58751
2125.83	0.61745
2126	0.65015
2126.09	0.609
2126.17	0.56628
2126.25	0.54489
2126.32	0.5573
2126.5	0.66569
2126.59	0.6814
2126.67	0.6772
2126.74	0.66973
2127	0.60275
2127.08	0.59166
2127.16	0.5957
2127.23	0.61512
2127.49	0.74391
2127.58	0.77214
2127.66	0.80583
2127.73	0.83076
2127.99	0.64928
2128.07	0.6347
2128.15	0.66148
2128.22	0.7073
2128.4	0.77742
2128.49	0.72937
2128.57	0.67818
2128.64	0.6535
2128.71	0.66158
2128.9	0.77126
2128.98	0.77395
2129.06	0.75124
2129.14	0.71849
2129.4	0.65628
2129.48	0.64335
2129.56	0.63056
2129.63	0.63195
2129.89	0.82577
2129.98	0.85157
2130.06	0.86657
2130.13	0.88111
2130.39	0.82711
2130.47	0.79399
2130.55	0.78228
2130.62	0.79521
2130.8	0.85119
2130.89	0.81369
2130.97	0.76087
2131.05	0.72775
2131.12	0.7406
2131.3	0.92087
2131.39	0.95899
2131.47	0.9468
2131.54	0.91772
2131.8	0.85188
2131.88	0.84746
2131.96	0.84551
2132.04	0.86186
2132.3	1.07759
2132.38	1.0933
2132.46	1.10013
2132.53	1.10617
2132.8	1.05751
2132.88	1.03626
2132.96	1.02815
2133.03	1.03304
2133.21	1.05413
2133.3	1.03178
2133.38	0.99917
2133.45	0.97436
2133.52	0.96587
2133.71	1.05994
2133.79	1.10163
2133.87	1.12195
2133.95	1.1214
2134.21	1.06146
2134.29	1.06195
2134.37	1.06608
2134.45	1.08429
2134.71	1.29209
2134.79	1.30967
2134.87	1.3153
2134.94	1.31354
2135.21	1.17164
2135.29	1.15104
2135.37	1.14872
2135.44	1.15646
2135.62	1.19364
2135.71	1.22176
2135.79	1.25417
2135.87	1.28782
2135.94	1.31189
2136.12	1.37173
2136.21	1.42905
2136.29	1.4698
2136.36	1.45335
2136.62	0.15989
2136.71	-0.47509
2136.79	-1.115
2136.86	-1.85626
2137.12	-8.50379
2137.21	-10.78607
2137.29	-12.62138
2137.36	-14.33109
2137.62	-23.75394
2137.71	-25.62278
2137.78	-26.68946
2137.86	-27.88483
2138.04	-31.12737
2138.12	-32.34858
2138.21	-33.35034
2138.28	-33.80219
2138.35	-33.85296
2138.54	-32.31007
2138.63	-31.63158
2138.71	-30.94234
2138.78	-29.98438
2139.04	-21.63288
2139.13	-18.78044
2139.21	-16.28788
2139.28	-13.99279
2139.54	-4.84045
2139.63	-2.9004
2139.71	-1.4535
2139.78	-0.27615
2140.05	3.46951
2140.13	3.90999
2140.21	4.2182
2140.28	4.43844
2140.46	4.83493
2140.55	4.91947
2140.63	4.97212
2140.71	5.00909
2140.78	5.00942
2140.96	4.95496
2141.05	5.02992
2141.13	5.13726
2141.21	5.30155
2141.47	7.4208
2141.55	8.19929
2141.63	8.98017
2141.71	9.85587
2141.97	12.51892
2142.05	12.36796
2142.13	11.84778
2142.21	10.83992
2142.47	3.3761
2142.56	1.87118
2142.63	0.96853
2142.71	-0.02606
2142.89	-2.15665
2142.98	-2.84666
2143.06	-3.25489
2143.14	-3.44324
2143.21	-3.35929
2143.39	-2.94057
2143.48	-3.56252
2143.56	-4.56726
2143.64	-5.94122
2143.9	-11.49923
2143.98	-11.88918
2144.06	-11.85998
2144.14	-11.4343
2144.4	-6.36176
2144.49	-4.93621
2144.56	-3.99932
2144.64	-2.98976
2144.91	-0.5057
2144.99	-0.32154
2145.07	-0.20293
2145.14	-0.12452
2145.32	-0.0289
2145.41	-0.02193
2145.49	-0.02093
2145.57	-0.02421
2145.64	-0.03369
2145.83	-0.06438
2145.91	-0.05887
2146	-0.05221
2146.07	-0.05742
2146.33	-0.14229
2146.42	-0.14159
2146.5	-0.14017
2146.57	-0.1427
2146.84	-0.1607
2146.92	-0.14584
2147	-0.12228
2147.08	-0.09442
2147.34	-0.0359
2147.43	-0.02245
2147.51	-0.02205
2147.58	-0.03757
2147.76	-0.10808
2147.85	-0.09862
2147.93	-0.06768
2148.01	-0.03644
2148.08	-0.02243
2148.27	-0.06572
2148.35	-0.08685
2148.44	-0.10117
2148.51	-0.10385
2148.77	-0.06028
2148.86	-0.08392
2148.94	-0.10814
2149.02	-0.12633
2149.28	-0.08807
2149.37	-0.05216
2149.45	-0.01815
2149.52	0.00891
2149.79	0.02305
2149.87	0.02924
2149.95	0.03169
2150.02	0.02153
2150.21	-0.02477
