v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2132.51014	0.00030475101410850497	2132.51014	0.0006580649338978894	2126.97	5.199102139275445e-75	2126.97	6.423037842159963e-75
2132.54028	0.0002994696323739346	2132.54028	0.0006822003265484905	2126.99	3.4819452879518804e-73	2126.99	4.301842108868791e-73
2132.57041	0.000294188343997602	2132.57041	0.0007013360060628832	2127.01	2.2061943740832834e-71	2127.01	2.725828743784978e-71
2132.60055	0.0002839069622630336	2132.60055	0.0007104713987134831	2127.03	1.3224973797843696e-69	2127.03	1.6340823327828496e-69
2132.63068	0.000278625673886701	2132.63068	0.0007096070782278557	2127.05	7.500257189399177e-68	2127.05	9.26791042186552e-68
2132.66081	0.00027334438551036844	2132.66081	0.0007037427577422373	2127.07	4.0242870275013795e-66	2127.07	4.97305908000383e-66
2132.69095	0.0002830630037757992	2132.69095	0.000702878150392855	2127.09	2.0428405717209465e-64	2127.09	2.524647834353692e-64
2132.72108	0.00029778171539947274	2132.72108	0.0007120138299072376	2127.11	9.811019216328302e-63	2127.11	1.2125929142530651e-62
2132.75121	0.0003175004270231374	2132.75121	0.0007361495094215936	2127.13	4.457890784698347e-61	2127.13	5.510208872624207e-61
2132.78135	0.0003372190452885643	2132.78135	0.0007702849020722186	2127.15	1.9163817566986287e-59	2127.15	2.368982541037596e-59
2132.81148	0.0003569377569122359	2132.81148	0.0008044205815865846	2127.17	7.794239521646393e-58	2127.17	9.636038907709187e-58
2132.84162	0.00037165637517765776	2132.84162	0.0008385559742372095	2127.19	2.999207824116378e-56	2127.19	3.708347576733414e-56
2132.87175	0.0003813750868013263	2132.87175	0.0008676916537515705	2127.21	1.0918993870850633e-54	2127.21	1.350237145949369e-54
2132.90188	0.0003910937984250018	2132.90188	0.0008868273332659493	2127.23	3.7610082545557e-53	2127.23	4.651469277143346e-53
2132.93202	0.00040581241669042367	2132.93202	0.0009059627259165592	2127.25	1.2256715949256027e-51	2127.25	1.5160857116661975e-51
2132.96215	0.0004255311283140953	2132.96215	0.000930098405430943	2127.27	3.7791569477298373e-50	2127.27	4.675349952291185e-50
2132.99229	0.00045024974657952715	2132.99229	0.000954233798081558	2127.29	1.1024775765463649e-48	2127.29	1.3641585142058603e-48
2133.02242	0.00047996845820320183	2133.02242	0.0009783694775959279	2127.31	3.043000102734207e-47	2127.31	3.765995491080405e-47
2133.05255	0.0004996871698268596	2133.05255	0.0010025051571102978	2127.33	7.946852905890726e-46	2127.33	9.837013038563826e-46
2133.08269	0.0005094057880922973	2133.08269	0.0010166405497609166	2127.35	1.9636015192106452e-44	2127.35	2.4311951806620667e-44
2133.11282	0.0004991244997159666	2133.11282	0.0010207762292752942	2127.37	4.5907205532897495e-43	2127.37	5.685315710059922e-43
2133.14295	0.00047384321133963486	2133.14295	0.0010149119087896619	2127.39	1.0155057794588416e-41	2127.39	1.2579779772834042e-41
2133.17309	0.00044856182960505836	2133.17309	0.0010040473014402834	2127.41	2.1255099974745385e-40	2127.41	2.633790285119626e-40
2133.20322	0.00042328054122873354	2133.20322	0.001003182980954656	2127.43	4.209482964003103e-39	2127.43	5.217778049589782e-39
