v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2132.51014	0.00030475101410850497	2132.51014	0.0006580649338978894	2088.97	0.0	2088.97	0.0
2132.54028	0.0002994696323739346	2132.54028	0.0006822003265484905	2089.018	0.0	2089.018	0.0
2132.57041	0.000294188343997602	2132.57041	0.0007013360060628832	2089.066	0.0	2089.066	0.0
2132.60055	0.0002839069622630336	2132.60055	0.0007104713987134831	2089.114	0.0	2089.114	0.0
2132.63068	0.000278625673886701	2132.63068	0.0007096070782278557	2089.162	0.0	2089.162	0.0
2132.66081	0.00027334438551036844	2132.66081	0.0007037427577422373	2089.21	0.0	2089.21	0.0
2132.69095	0.0002830630037757992	2132.69095	0.000702878150392855	2089.258	0.0	2089.258	0.0
2132.72108	0.00029778171539947274	2132.72108	0.0007120138299072376	2089.306	0.0	2089.306	0.0
2132.75121	0.0003175004270231374	2132.75121	0.0007361495094215936	2089.354	0.0	2089.354	0.0
2132.78135	0.0003372190452885643	2132.78135	0.0007702849020722186	2089.402	0.0	2089.402	0.0
2132.81148	0.0003569377569122359	2132.81148	0.0008044205815865846	2089.45	0.0	2089.45	0.0
2132.84162	0.00037165637517765776	2132.84162	0.0008385559742372095	2089.498	0.0	2089.498	0.0
2132.87175	0.0003813750868013263	2132.87175	0.0008676916537515705	2089.546	0.0	2089.546	0.0
2132.90188	0.0003910937984250018	2132.90188	0.0008868273332659493	2089.594	0.0	2089.594	0.0
2132.93202	0.00040581241669042367	2132.93202	0.0009059627259165592	2089.642	0.0	2089.642	0.0
2132.96215	0.0004255311283140953	2132.96215	0.000930098405430943	2089.69	0.0	2089.69	0.0
2132.99229	0.00045024974657952715	2132.99229	0.000954233798081558	2089.738	0.0	2089.738	0.0
2133.02242	0.00047996845820320183	2133.02242	0.0009783694775959279	2089.786	0.0	2089.786	0.0
2133.05255	0.0004996871698268596	2133.05255	0.0010025051571102978	2089.834	0.0	2089.834	0.0
2133.08269	0.0005094057880922973	2133.08269	0.0010166405497609166	2089.882	0.0	2089.882	0.0
2133.11282	0.0004991244997159666	2133.11282	0.0010207762292752942	2089.93	0.0	2089.93	0.0
2133.14295	0.00047384321133963486	2133.14295	0.0010149119087896619	2089.978	0.0	2089.978	0.0
2133.17309	0.00044856182960505836	2133.17309	0.0010040473014402834	2090.026	0.0	2090.026	0.0
2133.20322	0.00042328054122873354	2133.20322	0.001003182980954656	2090.074	0.0	2090.074	0.0
2133.23336	0.0004129991594941512	2133.23336	0.001012318373605256	2090.122	0.0	2090.122	0.0
2133.26349	0.0004277178711178248	2133.26349	0.0010464540531196498	2090.17	0.0	2090.17	0.0
2133.29362	0.0004724365827415006	2133.29362	0.001095589732634017	2090.218	0.0	2090.218	0.0
2133.32376	0.0005321552010069189	2133.32376	0.0011547251252846252	2090.266	0.0	2090.266	0.0
2133.35389	0.0006018739126305919	2133.35389	0.0012188608047990074	2090.314	0.0	2090.314	0.0
2133.38402	0.0006565926242542638	2133.38402	0.0012729964843133795	2090.362	0.0	2090.362	0.0
2133.41416	0.0006863112425196938	2133.41416	0.0013021318769639995	2090.41	0.0	2090.41	0.0
2133.44429	0.0006860299541433593	2133.44429	0.0013012675564783721	2090.458	0.0	2090.458	0.0
2133.47443	0.0006457485724087955	2133.47443	0.0012854029491289748	2090.506	0.0	2090.506	0.0
2133.50456	0.0005954672840324665	2133.50456	0.001254538628643359	2090.554	0.0	2090.554	0.0
2133.53469	0.0005401859956561256	2133.53469	0.0012236743081577295	2090.602	0.0	2090.602	0.0
2133.56483	0.0005049046139215599	2133.56483	0.001217809700808356	2090.65	0.0	2090.65	0.0
2133.59496	0.0005046233255452323	2133.59496	0.0012319453803227298	2090.698	0.0	2090.698	0.0
2133.6251	0.0005393419438106534	2133.6251	0.0012760807729733231	2090.746	0.0	2090.746	0.0
2133.65523	0.0005940606554343253	2133.65523	0.0013352164524877141	2090.794	0.0	2090.794	0.0
2133.68536	0.0006537793670579953	2133.68536	0.0014043521320020735	2090.842	0.0	2090.842	0.0
2133.7155	0.0006984979853234263	2133.7155	0.0014534875246526996	2090.89	0.0	2090.89	0.0
2133.74563	0.000718216696947091	2133.74563	0.0014876232041670795	2090.938	0.0	2090.938	0.0
2133.77576	0.0007179354085707634	2133.77576	0.0015017588836814394	2090.986	0.0	2090.986	0.0
2133.8059	0.00070265402683619	2133.8059	0.001495894276332066	2091.034	0.0	2091.034	0.0
2133.83603	0.0006873727384598544	2133.83603	0.0014950299558464247	2091.082	0.0	2091.082	0.0
2133.86617	0.000687091356725289	2133.86617	0.0015041653484970524	2091.13	0.0	2091.13	0.0
2133.8963	0.0007068100683489537	2133.8963	0.0015283010280114362	2091.178	0.0	2091.178	0.0
2133.92643	0.0007415287799726195	2133.92643	0.0015674367075257933	2091.226	0.0	2091.226	0.0
